timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722207147802,400,FlightsPage,200,OK,Thread Group 1-1,text,true,,7245,130,1,1,https://www.blazedemo.com/reserve.php,396,0,222
1722207148272,283,FlightsPage,200,OK,Thread Group 1-2,text,true,,7245,130,2,2,https://www.blazedemo.com/reserve.php,276,0,76
1722207148205,754,MainPage,200,OK,Thread Group 1-1,text,true,,4757,128,3,3,https://www.blazedemo.com/index.php,753,0,0
1722207148556,585,MainPage,200,OK,Thread Group 1-2,text,true,,4757,128,3,3,https://www.blazedemo.com/index.php,584,0,0
1722207148961,267, LoginPage,200,OK,Thread Group 1-1,text,true,,5756,124,3,3,https://www.blazedemo.com/login,266,0,0
1722207148772,484,FlightsPage,200,OK,Thread Group 1-3,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,482,0,68
1722207149257,187,MainPage,200,OK,Thread Group 1-3,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,185,0,0
1722207149143,339, LoginPage,200,OK,Thread Group 1-2,text,true,,5768,124,4,4,https://www.blazedemo.com/login,337,0,0
1722207149485,183,PurchasePage,200,OK,Thread Group 1-2,text,true,,6719,840,4,4,https://www.blazedemo.com/purchase.php,181,0,0
1722207149236,433,PurchasePage,200,OK,Thread Group 1-1,text,true,,6719,828,4,4,https://www.blazedemo.com/purchase.php,431,0,0
1722207149445,455, LoginPage,200,OK,Thread Group 1-3,text,true,,5762,124,3,3,https://www.blazedemo.com/login,445,0,0
1722207149902,598,PurchasePage,200,OK,Thread Group 1-3,text,true,,6719,834,4,4,https://www.blazedemo.com/purchase.php,596,0,0
1722207150268,341,FlightsPage,200,OK,Thread Group 1-6,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,338,0,86
1722207149268,1657,FlightsPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 1,657 milliseconds, but should not have lasted longer than 1,000 milliseconds.",7245,130,4,4,https://www.blazedemo.com/reserve.php,1656,0,72
1722207150610,513,MainPage,200,OK,Thread Group 1-6,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,512,0,0
1722207150928,229,MainPage,200,OK,Thread Group 1-4,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,228,0,0
1722207149769,1637,FlightsPage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 1,637 milliseconds, but should not have lasted longer than 1,000 milliseconds.",7245,130,5,5,https://www.blazedemo.com/reserve.php,1634,0,64
1722207151159,277, LoginPage,200,OK,Thread Group 1-4,text,true,,5766,124,5,5,https://www.blazedemo.com/login,275,0,0
1722207151125,372, LoginPage,200,OK,Thread Group 1-6,text,true,,5764,124,5,5,https://www.blazedemo.com/login,370,0,0
1722207151274,269,FlightsPage,200,OK,Thread Group 1-8,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,260,0,65
1722207150776,874,FlightsPage,200,OK,Thread Group 1-7,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,872,0,68
1722207151409,261,MainPage,200,OK,Thread Group 1-5,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,260,0,0
1722207151652,184,MainPage,200,OK,Thread Group 1-7,text,true,,4757,128,6,6,https://www.blazedemo.com/index.php,182,0,0
1722207151500,395,PurchasePage,200,OK,Thread Group 1-6,text,true,,6719,836,6,6,https://www.blazedemo.com/purchase.php,393,0,0
1722207151545,478,MainPage,200,OK,Thread Group 1-8,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,477,0,0
1722207151772,282,FlightsPage,200,OK,Thread Group 1-9,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,280,0,72
1722207151440,666,PurchasePage,200,OK,Thread Group 1-4,text,true,,6719,838,5,5,https://www.blazedemo.com/purchase.php,663,0,0
1722207152024,265, LoginPage,200,OK,Thread Group 1-8,text,true,,5762,124,5,5,https://www.blazedemo.com/login,264,0,0
1722207152056,399,MainPage,200,OK,Thread Group 1-9,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,398,0,0
1722207151838,949, LoginPage,200,OK,Thread Group 1-7,text,true,,5760,124,6,6,https://www.blazedemo.com/login,948,0,0
1722207151672,1144, LoginPage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 1,144 milliseconds, but should not have lasted longer than 1,000 milliseconds.",5760,124,6,6,https://www.blazedemo.com/login,1143,0,0
1722207152457,386, LoginPage,200,OK,Thread Group 1-9,text,true,,5754,124,6,6,https://www.blazedemo.com/login,386,0,0
1722207152790,194,PurchasePage,200,OK,Thread Group 1-7,text,true,,6719,832,6,6,https://www.blazedemo.com/purchase.php,192,0,0
1722207152292,708,PurchasePage,200,OK,Thread Group 1-8,text,true,,6719,834,5,5,https://www.blazedemo.com/purchase.php,707,0,0
1722207152845,203,PurchasePage,200,OK,Thread Group 1-9,text,true,,6719,826,4,4,https://www.blazedemo.com/purchase.php,202,0,0
1722207152773,660,FlightsPage,200,OK,Thread Group 1-11,text,true,,7245,130,4,4,https://www.blazedemo.com/reserve.php,657,0,66
1722207152273,1518,FlightsPage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 1,518 milliseconds, but should not have lasted longer than 1,000 milliseconds.",7245,130,5,5,https://www.blazedemo.com/reserve.php,1517,0,59
1722207153269,692,FlightsPage,200,OK,Thread Group 1-12,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,691,0,69
1722207153771,296,FlightsPage,200,OK,Thread Group 1-13,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,290,0,73
1722207153435,852,MainPage,200,OK,Thread Group 1-11,text,true,,4757,128,6,6,https://www.blazedemo.com/index.php,805,0,0
1722207154068,220,MainPage,200,OK,Thread Group 1-13,text,true,,4757,128,6,6,https://www.blazedemo.com/index.php,219,0,0
1722207153962,326,MainPage,200,OK,Thread Group 1-12,text,true,,4757,128,6,6,https://www.blazedemo.com/index.php,325,0,0
1722207154289,249, LoginPage,200,OK,Thread Group 1-13,text,true,,5758,124,6,6,https://www.blazedemo.com/login,249,0,0
1722207154290,266, LoginPage,200,OK,Thread Group 1-12,text,true,,5764,124,6,6,https://www.blazedemo.com/login,265,0,0
1722207153793,776,MainPage,200,OK,Thread Group 1-10,text,true,,4757,128,6,6,https://www.blazedemo.com/index.php,775,0,0
1722207152818,1768,PurchasePage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 1,768 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,832,6,6,https://www.blazedemo.com/purchase.php,1768,0,0
1722207154273,421,FlightsPage,200,OK,Thread Group 1-14,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,419,0,164
1722207154542,367,PurchasePage,200,OK,Thread Group 1-13,text,true,,6719,830,6,6,https://www.blazedemo.com/purchase.php,366,0,0
1722207154696,327,MainPage,200,OK,Thread Group 1-14,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,322,0,0
1722207154289,910, LoginPage,200,OK,Thread Group 1-11,text,true,,5768,124,5,5,https://www.blazedemo.com/login,910,0,0
1722207154771,487,FlightsPage,200,OK,Thread Group 1-15,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,486,0,79
1722207155025,337, LoginPage,200,OK,Thread Group 1-14,text,true,,5764,124,6,6,https://www.blazedemo.com/login,336,0,0
1722207154571,820, LoginPage,200,OK,Thread Group 1-10,text,true,,5768,124,6,6,https://www.blazedemo.com/login,820,0,0
1722207155394,237,PurchasePage,200,OK,Thread Group 1-10,text,true,,6719,840,6,6,https://www.blazedemo.com/purchase.php,236,0,0
1722207155261,393,MainPage,200,OK,Thread Group 1-15,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,393,0,0
1722207155656,197, LoginPage,200,OK,Thread Group 1-15,text,true,,5754,124,6,6,https://www.blazedemo.com/login,196,0,0
1722207155271,594,FlightsPage,200,OK,Thread Group 1-16,text,true,,7245,130,6,6,https://www.blazedemo.com/reserve.php,589,0,157
1722207155202,693,PurchasePage,200,OK,Thread Group 1-11,text,true,,6719,840,6,6,https://www.blazedemo.com/purchase.php,691,0,0
1722207155365,844,PurchasePage,200,OK,Thread Group 1-14,text,true,,6719,836,5,5,https://www.blazedemo.com/purchase.php,843,0,0
1722207154559,1650,PurchasePage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 1,650 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,836,5,5,https://www.blazedemo.com/purchase.php,1649,0,0
1722207155854,445,PurchasePage,200,OK,Thread Group 1-15,text,true,,6719,826,4,4,https://www.blazedemo.com/purchase.php,442,0,0
1722207155772,723,FlightsPage,200,OK,Thread Group 1-17,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,722,0,63
1722207156268,416,FlightsPage,200,OK,Thread Group 1-18,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,415,0,68
1722207156686,202,MainPage,200,OK,Thread Group 1-18,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,200,0,0
1722207155866,1024,MainPage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 1,024 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4757,128,4,4,https://www.blazedemo.com/index.php,1023,0,0
1722207156773,357,FlightsPage,200,OK,Thread Group 1-19,text,true,,7245,130,4,4,https://www.blazedemo.com/reserve.php,357,0,75
1722207156496,702,MainPage,200,OK,Thread Group 1-17,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,702,0,0
1722207156889,347, LoginPage,200,OK,Thread Group 1-18,text,true,,5768,124,4,4,https://www.blazedemo.com/login,346,0,0
1722207157274,359,FlightsPage,200,OK,Thread Group 1-20,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,349,0,70
1722207156890,744, LoginPage,200,OK,Thread Group 1-16,text,true,,5756,124,5,5,https://www.blazedemo.com/login,743,0,0
1722207157132,532,MainPage,200,OK,Thread Group 1-19,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,524,0,0
1722207157665,239, LoginPage,200,OK,Thread Group 1-19,text,true,,5756,124,5,5,https://www.blazedemo.com/login,238,0,0
1722207157199,876, LoginPage,200,OK,Thread Group 1-17,text,true,,5768,124,5,5,https://www.blazedemo.com/login,876,0,0
1722207157907,197,PurchasePage,200,OK,Thread Group 1-19,text,true,,6719,828,5,5,https://www.blazedemo.com/purchase.php,193,0,0
1722207157635,959,PurchasePage,200,OK,Thread Group 1-16,text,true,,6719,828,4,4,https://www.blazedemo.com/purchase.php,956,0,0
1722207157634,1024,MainPage,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 1,024 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4757,128,3,3,https://www.blazedemo.com/index.php,1023,0,0
1722207157238,1529,PurchasePage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 1,529 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,840,3,3,https://www.blazedemo.com/purchase.php,1515,0,0
1722207158079,1062,PurchasePage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 1,062 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,840,2,2,https://www.blazedemo.com/purchase.php,1061,0,0
1722207158661,804, LoginPage,200,OK,Thread Group 1-20,text,true,,5768,124,1,1,https://www.blazedemo.com/login,803,0,0
1722207159467,355,PurchasePage,200,OK,Thread Group 1-20,text,true,,6719,840,1,1,https://www.blazedemo.com/purchase.php,351,0,0
